"zOTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"de3901260547a323762fba9b9dec22ca","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Unclassified"
"9e35be0dc16e24b128b127b4d313abde","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"83a2afcb12bafabafe05ba116fc4e513","Bacteria","NKB15","NKB15","NKB15","NKB15","NKB15","uncultured_bacterium"
"963d2e6399cac98f479a1acaa0f94eef","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","uncultured_soil"
"e9b6e9d26aeffc61a888ede8f967670f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","uncultured","Unclassified"
"723837114e119d0c4dd40607a601f9e9","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"f3122b127cdcb2fec9a62fcd911d2357","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae","uncultured","uncultured_bacterium"
"c60236a148570dc07ef235ed346a547e","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","uncultured_bacterium"
"8a1dc3f599459f2be0f36e36cc9bbac4","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Unclassified"
"0de46e4adc67dce170592996fcd0477e","Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured_soil"
"b7a11f7d31f1543263f671ebec4edb03","Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","uncultured_bacterium"
"7feac75aaab93b23b0336f16bd6c93ed","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella","uncultured_bacterium"
"8b2fd34b0445474adb0d65ba1eead1b2","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured","Unclassified"
"a28a7198ea823ce736a9469a23905e31","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"af0d74cd934951cab775b1816afcc3c7","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Unclassified"
"36c10fa2924392a92f1ca80b48542ead","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales","Candidatus_Nomurabacteria"
"8e5aad973e0bd31d90d386cfd0dcb074","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1","uncultured_beta"
"d4e4ab3fc47eae9d17033f9612a00a64","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","metagenome"
"f353139d88c5d49defa6d382e87dec78","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","uncultured","uncultured_bacterium"
"c2664ae4267012f6ba7547928e4e23b5","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales","Unclassified"
"be3a8e0f47899b5227e117938e607ce6","Bacteria","Schekmanbacteria","Schekmanbacteria","Schekmanbacteria","Schekmanbacteria","Schekmanbacteria","Candidatus_Schekmanbacteria"
"385fdf9467a6c9ed1c1986a868108d68","Bacteria","Elusimicrobiota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"56872a324ee482e9f1fda743bc41d9c5","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"08916d6956d718eab96962c70812cc8c","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae","Unclassified"
"2b1503da4baaf11d8b71db62c9c5b53a","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03","uncultured_bacterium"
"6681e7b56ee8a58b8f4718a97735efe5","Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","Unclassified"
"75643cf073797aa0fc8c7a103d0970e1","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","uncultured_bacterium"
"9484bb687700a464991d15370ab6c57e","Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","uncultured_bacterium"
"92a3e865508b73c4234165a16294c53f","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Unclassified"
"fc77c870dbcc232cbfb11f1678a7d6cb","Bacteria","Chloroflexi","Dehalococcoidia","661239","661239","661239","uncultured_bacterium"
"d73b44ce2018b0905afdf6e6c27d9152","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","uncultured_bacterium"
"50d88e2e0392e43c22916014beaf9d1d","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","Omnitrophica_WOR_2"
"f1eeb2498b3012faff4263f48d0448aa","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","uncultured_Chlorobi"
"2e48f5609e84c6fbc20617eb86b2a0e4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","uncultured","uncultured_Alphaproteobacteria"
"154421eab23aa92e162f9c8ba6c55a93","Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","uncultured_delta"
"1bcae09595de0baa032d3772f88f6fe2","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","metagenome"
