"OTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"New.ReferenceOTU293654","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Unclassified"
"New.ReferenceOTU24391","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"New.ReferenceOTU182969","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU202596","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU294946","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU168717","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU168204","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Green"
"New.ReferenceOTU84941","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU180220","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU32283","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
